"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"453877662","n/a","Instructions / Creator / Model / Airport","Used","","(Instructions) for Set 6912 Super Soarer Only 1 book. Только 1 книга","на Янковского","$0.30","1","1","0%","","6912-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","92","","1/18/2025","","USD"
"453879945","n/a","Instructions / Friends","Used","","(Instructions) for Set 41327 Mia's Bedroom Was bent in half. Excellent condition. Была согнута пополам. Состояние отличное.","на Янковского","$0.42","1","1","0%","","41327-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","25","","1/18/2025","","USD"
"453881278","n/a","Instructions / Friends","Used","","(Instructions) for Set 41425 Olivia&#39;s Flower Garden Slightly shabby. There are bends. Слегка потрепана. Есть изгибы","на Янковского","$0.20","1","1","0%","","41425-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","19","","1/18/2025","","USD"
"453881706","n/a","Instructions / Friends","Used","","(Instructions) for Set 41106 Pop Star Tour Bus Was bent in half. Excellent condition. Была согнута пополам. Состояние отличное.","на Янковского","$2.06","1","1","0%","","41106-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","206","","1/18/2025","","USD"
"453881837","n/a","Instructions / Friends","Used","","(Instructions) for Set 41036 Jungle Bridge Rescue ","на Янковского","$1.18","1","1","0%","","41036-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","93.1","","1/18/2025","","USD"
"453882021","n/a","Instructions / Friends","Used","","(Instructions) for Set 41316 Andrea&#39;s Speedboat Transporter ","на Янковского","$0.67","1","1","0%","","41316-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","81","","1/18/2025","","USD"
"455822346","Black","Parts / Technic, Liftarm","Used","","Black Technic, Liftarm Thick 1 x 15 ","ящик 1.2","$0.41","23","1","0%","","32278","0","$0.00","0","$0.00","0","$0.00","","No","No","","","4","","1/28/2025","","USD"
"455822749","Blue","Parts / Technic, Liftarm","Used","","Blue Technic, Liftarm Thick 1 x 15 ","ящик 1.2","$0.50","6","1","0%","","32278","0","$0.00","0","$0.00","0","$0.00","","No","No","","","4","","1/28/2025","","USD"
"458071065","n/a","Minifigures / Town","Used","","Overalls with Safety Stripe Orange, Black Legs, Dark Bluish Gray Knit Cap, Brown Eyebrows, Thin Grin ","CITY-TWN","$1.80","1","1","0%","","twn123","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.35","","2/9/2025","","USD"
"458071269","n/a","Minifigures / Town","Used","","Female, Toy Store Worker &#40;LEGO Logo on Reverse of Torso&#41; ","CITY-TWN","$2.69","1","1","0%","","twn381","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.9","","2/9/2025","","USD"
"458071282","n/a","Minifigures / Town","Used","","Medium Blue Female Shirt with Two Buttons and Shell Pendant, Blue Legs, Dark Brown Ponytail and Swept Sideways Fringe ","CITY-TWN","$2.00","1","1","0%","","twn213","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.65","","2/9/2025","","USD"
"458071290","n/a","Minifigures / Town / City","Used","","Shirt with Female Rainbow Stars Pattern, Blue Legs, Dark Orange Female Hair Mid-Length ","CITY-TWN","$2.73","1","1","0%","","twn129","0","$0.00","0","$0.00","0","$0.00","","No","No","","","4","","2/9/2025","","USD"
"458071300","n/a","Minifigures / Town / City / Airport","Used","","Glider Pilot ","CITY-TWN","$2.74","1","1","0%","","twn164","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3","","2/9/2025","","USD"
"458071311","n/a","Minifigures / Town","Used","","Camper - Female, Dark Blue Legs ","CITY-TWN","$2.08","1","1","0%","","twn260","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.58","","2/9/2025","","USD"
